"","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","DEM","dayWeek"
"46",47,1,2015-02-18,"BSQ",25.2083,0.071408296,0.177033583,1.16e-09,1.32e-09,3.93e-10,8.41e-09,5.9e-09,1.08e-09,2.26e-08,3.98e-09,656.0893237,21.53582688,2076.019881,740.3733073,90326.51855,90246.10687,90402.9262,48.11757114,280.9920569,277.5946529,283.514719,1.681524671,291.4459817,286.6097001,297.9532208,3.848771846,0.307159495,-0.069856852,0.870090061,0.213123485,1.337166235,-0.587721367,3.556522628,1.358973749,3.39e-21,3.39e-21,3.39e-21,580,3
"47",48,1,2015-02-19,"BSQ",35.5833,0.177241828,0.177033583,1.09e-09,1.09e-09,3.84e-10,1.16e-08,6.03e-09,1.08e-09,1.83e-08,2.9e-09,684.7667473,20.20586107,2263.335516,801.7742539,90349.25792,90267.61994,90395.85789,35.88919027,277.3120564,275.1527375,279.7133954,1.327238441,290.0194488,283.9709277,296.0978959,3.934230881,-0.165839189,-1.6055996,0.484143425,0.509964767,0.946012967,-1.003406887,3.247830485,1.376905497,0,0,0,580,4
"48",49,1,2015-02-21,"BSQ",26.1667,0.142655746,0.177033583,8.52e-10,3.59e-09,9.45e-10,4.75e-09,1.09e-08,4.96e-09,1.06e-08,2.37e-09,637.6674223,24.15591985,1929.765737,732.2106828,90514.9953,90371.93598,90636.71807,87.99533273,281.5959317,278.7594993,284.4753986,1.603266357,290.1151181,284.4745335,297.0329961,4.612195868,0.164842775,-0.428915563,0.915543985,0.353388601,0.910736803,-0.989637145,2.420426759,1.09912816,9.68e-05,9.68e-05,9.68e-05,580,6
"49",50,1,2015-02-22,"BSQ",19.875,0.091479042,0.177033583,7.77e-10,2.74e-09,7.45e-10,3.43e-09,7.23e-09,3.19e-09,7.12e-09,1.52e-09,535.1352803,18.04264802,1743.618446,646.464467,90606.8279,90490.32564,90716.2258,74.19962258,282.8121618,280.4842559,285.1438474,1.351662088,291.8197223,285.5472583,299.0265453,4.820973697,0.363240695,-0.105737839,1.127873263,0.294297943,0.84473628,-0.69544703,2.541752467,1.230128672,-1.36e-20,-1.36e-20,-1.36e-20,580,7
"50",51,1,2015-02-23,"BSQ",19.9583,0.073664624,0.177033583,7.43e-10,2.95e-09,7.74e-10,3.04e-09,7.47e-09,2.93e-09,4.58e-09,9.7e-10,417.6318259,17.14622203,1296.475247,481.0554454,90457.93349,90314.06669,90632.98078,92.58693636,283.7145234,281.1514722,286.2469074,1.47880545,292.8389106,287.0080919,299.9471147,4.492612828,0.420832371,-0.013635056,1.002788761,0.308624576,1.024895016,-0.710939394,3.060026127,1.409472534,0,0,0,580,1
"51",52,1,2015-02-25,"BSQ",26.7083,0.090408926,0.177033583,8.94e-10,3.35e-09,8.25e-10,4.46e-09,6.83e-09,5.7e-09,8.13e-09,1.84e-09,448.3456439,23.70947909,1309.231429,472.8495641,90236.59719,90105.30964,90415.66443,89.2814429,283.7993896,282.6820005,284.9753517,0.620856976,290.1996578,285.6964401,297.2074785,4.382016862,0.425955738,-0.012443293,0.836249242,0.247109324,1.228332193,-0.279814976,2.691282042,1.017451351,1.14e-05,1.14e-05,1.14e-05,580,3
"52",53,1,2015-02-26,"BSQ",23.875,0.189874435,0.177033583,8.71e-10,2.71e-10,7.14e-11,2.12e-09,6.56e-09,4.25e-09,4.72e-09,1.07e-09,443.1653556,26.48640783,1195.379652,470.6176145,90170.76578,90035.26898,90299.61826,83.03372077,283.7178006,282.381122,285.4140469,0.836172086,289.9685451,285.559468,295.3713569,3.351140812,0.374979405,-0.402823868,1.360752775,0.491117964,1.266392489,-0.397724861,2.902223544,1.063998726,0,0,0,580,4
"53",54,1,2015-02-27,"BSQ",15.9583,0.160993215,0.177033583,7.31e-10,2.49e-09,6.28e-10,1.44e-09,8.42e-09,4.84e-09,4.78e-09,7.27e-10,480.8858463,25.41744491,1344.829615,476.7202187,90344.96019,90265.7235,90404.54925,38.80772743,284.4010904,282.6088999,286.0712833,1.21928877,290.346472,286.0467216,296.7742793,3.789673488,0.510387149,-0.136978835,1.026010788,0.30817146,1.298485988,0.080793169,2.446974851,0.843660995,0,0,0,580,5
"54",55,1,2015-02-28,"BSQ",14,0.28007561,0.177033583,6.5e-10,3.8e-09,9.3e-10,1.23e-09,7.54e-09,3.82e-09,4.66e-09,7.69e-10,509.9901365,43.73974293,1597.626558,542.430781,90502.83656,90387.79482,90610.45764,66.45570854,284.0074877,282.9166651,285.4836327,0.695064994,290.1778915,286.30566,295.082257,3.188197934,0.175818609,-0.405217091,0.560952997,0.263735953,1.268960675,0.312603295,2.166782738,0.624239747,3.07e-07,3.07e-07,3.07e-07,580,6
"55",56,1,2015-03-01,"BSQ",12.6667,0.048485948,0.186870546,4.3e-10,3.11e-09,7.93e-10,1.12e-09,9.44e-09,3.77e-09,3.27e-09,5.52e-10,569.8290105,26.03026512,1670.545587,610.4446837,90586.54773,90423.83502,90665.39107,75.42589818,282.8942867,281.3057637,285.0541864,1.224298942,290.9732567,284.7992419,298.8645858,5.148881829,0.281213891,-0.038847506,0.950670604,0.261635938,1.004676668,-0.572216778,2.322118866,0.994778554,2.1e-05,2.1e-05,2.1e-05,580,7
"56",57,1,2015-03-02,"BSQ",14.875,0.107545305,0.186870546,7.29e-10,1.21e-09,3.47e-10,1.4e-09,6.45e-09,2.64e-09,3.51e-09,5.61e-10,501.4668421,31.77314741,1699.578112,578.6997947,90380.12848,90231.80532,90477.77314,75.03353596,283.2284394,280.9110869,285.4199844,1.328028312,291.3632012,285.7215104,297.6129865,3.96340001,0.124415571,-0.77468184,1.059333235,0.414422759,1.24281637,-0.059978751,3.506941692,1.076533768,0,0,0,580,1
"57",58,1,2015-03-03,"BSQ",18.6667,0.06540524,0.186870546,6.86e-10,1.28e-09,3.81e-10,1.77e-09,7.34e-09,2.85e-09,4.5e-09,7.63e-10,487.4319641,18.96207181,1584.767149,563.7860504,90385.03963,90289.7767,90511.23317,56.60647955,281.7820497,279.4371187,284.6769548,1.665233646,291.0555008,284.6912378,298.4847114,5.026476055,0.355604599,-0.021349651,1.068204808,0.245037022,1.044687873,-0.695921892,2.944768128,1.294752319,0,0,0,580,2
"60",61,1,2015-03-06,"BSQ",23.875,0.085000798,0.186870546,8.19e-10,3.54e-09,9.98e-10,2.42e-09,5.21e-09,1.5e-09,9.74e-09,1.76e-09,376.5803038,13.51821567,1178.617651,446.7349092,90291.35053,90176.59724,90385.47601,65.52975193,282.5292529,279.7885977,284.4619685,1.557650891,292.5264342,286.2302492,299.2143216,4.443666996,0.305421944,-0.133070811,1.075343283,0.374230225,1.117639971,-0.69439661,3.308094846,1.415430821,0,0,0,580,5
"63",64,1,2015-03-09,"BSQ",15.0454,0.03944767,0.186870546,7.28e-10,6.03e-09,1.57e-09,1.87e-09,5.01e-09,1.16e-09,1.31e-08,2.27e-09,369.4935413,13.5622591,1170.214847,443.864239,90110.79285,89964.93854,90212.01695,70.02942595,283.6012927,281.529786,286.2091352,1.464662095,294.7445302,288.7410374,303.0784019,5.093571988,0.351275107,-0.114665561,1.188335283,0.436977138,0.897908061,-0.755930065,2.657640875,1.335672329,0,0,0,580,1
"66",67,1,2015-03-17,"BSQ",27.7083,0.070550146,0.186870546,9.41e-10,5.46e-09,1.65e-09,3.13e-09,6.29e-09,1.63e-09,8.61e-09,2.09e-09,375.8700109,13.82176271,1227.795953,459.3717025,90486.24608,90308.81113,90600.31668,77.66429759,280.1795885,277.8892432,283.6565783,1.428243968,293.7649482,286.8933461,302.1481256,5.377520578,0.520907789,-0.238249974,1.340911026,0.431730277,0.934966553,-1.208486247,2.655878347,1.19389686,0,0,0,580,2
"67",68,1,2015-03-18,"BSQ",26,0.066786888,0.186870546,9.41e-10,4.7e-09,1.43e-09,3.51e-09,5.41e-09,1.22e-09,6.68e-09,1.32e-09,365.5397923,13.77833282,1219.315175,457.6417213,90395.68865,90285.97688,90553.29403,91.45229616,281.0952679,279.0451004,284.1649568,1.347830769,294.1159169,287.8643533,302.0329277,4.764350944,0.366884852,-0.246867442,1.184457533,0.503973673,0.741012012,-0.536946535,2.512398496,1.175636842,0,0,0,580,3
"68",69,1,2015-03-19,"BSQ",27.7917,0.074621341,0.186870546,8.89e-10,3.93e-09,1.15e-09,2.89e-09,5.61e-09,1.48e-09,4.35e-09,1.08e-09,392.8446126,14.69525499,1309.02535,494.0160897,90503.43148,90332.19733,90638.73635,76.70444955,282.0659004,280.1501624,284.3091096,1.260625812,293.5267813,287.2815139,301.3055377,5.20691222,0.428823667,-0.617015313,1.477773007,0.580007267,0.847215004,-1.073484879,2.704068196,1.214794272,0,0,0,580,4
"70",71,1,2015-03-21,"BSQ",22.9167,0.087430182,0.186870546,6.41e-10,9.86e-10,3.34e-10,1.53e-09,5.42e-09,1.83e-09,2.31e-09,4.23e-10,364.5899683,17.79653839,1271.704973,467.9444167,90485.85984,90385.45087,90604.50667,63.62432689,279.6011216,276.3150734,286.450969,2.89874433,294.8485033,287.5142869,301.2194663,4.861441598,0.367417108,-0.074177212,1.239503275,0.413562404,0.34197918,-1.994739077,3.318918041,1.880480098,0,0,0,580,6
"71",72,1,2015-03-22,"BSQ",18.2917,0.108283687,0.186870546,1.62e-09,1e-08,2.51e-09,5.48e-09,8.35e-09,5.69e-09,3.68e-08,1.05e-08,383.500216,17.93688042,1207.560701,452.1159614,90492.59194,90384.19701,90665.62552,80.82044552,283.5156368,279.8313031,286.7956669,2.043626954,291.5084395,286.8325357,297.447969,3.848834347,0.480148332,0.024927872,0.88554863,0.279964431,0.797802893,-0.958134079,2.813018628,1.384439031,-1.36e-20,-1.36e-20,-1.36e-20,580,7
"72",73,1,2015-03-27,"BSQ",17.2917,0.092144321,0.186870546,6.6e-10,1.78e-09,5.79e-10,1.52e-09,7.01e-09,3.14e-09,9.31e-10,2.37e-10,438.8143081,16.05995111,1522.277726,576.8229554,90681.62909,90590.25073,90808.1159,66.37481027,279.1778274,276.4345114,282.7467104,1.555363386,289.8739507,282.6076484,297.2392079,5.360270952,0.310812885,-0.197039537,1.191823435,0.463014622,0.190431511,-1.380310927,2.095746158,1.214594816,-6.78e-21,-6.78e-21,-6.78e-21,580,5
