"","X","ID","date","estacion","PM25","PM25_hora","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"3370",5545,6,2021-10-08,"EMB",9.779166667,9.779166667,0.233656257,0.329688607749354,3.16e-10,2.39e-09,6.65e-10,1.22e-09,3.42e-09,6.35e-10,1.37e-08,2.73e-09,504.12666470982,267.429930749362,927.543198046073,243.760388421254,101931.713642392,101754.913026253,102070.621222821,95.0724150040557,280.534128646086,276.647758341267,281.921266478194,1.3099062537737,286.104692883703,283.694559716825,288.704721771004,1.7736795646498,0.321762547633224,-1.45070798621803,2.95393368475325,1.18284681805445,-4.22218433130466,-5.74348407585455,-3.15358918103735,0.706653428703764,1.81120014344994e-05,0,0.000250439721285983,5.48304349157847e-05,12,5
"3371",5546,6,2021-10-09,"EMB",6.179166667,6.179166667,0.173056141,0.329688607749354,3.06e-10,4.19e-09,1.14e-09,1.24e-09,3.15e-09,7.04e-10,1.42e-08,2.63e-09,512.294881168032,272.657691866571,981.176303563803,233.7703741852,101967.249445731,101821.059639229,102060.438536184,72.5824845197763,282.407877511129,280.602232478638,284.966748943063,1.26691729190929,287.487087617486,284.67667096588,290.792892542916,2.28122602643897,1.57409758512497,-0.741767947612399,3.60035270428072,1.15322332196926,-4.5916404402421,-6.1840724690396,-3.14891085277978,0.838338303106878,3.28907995955422e-05,0,0.000369086372561179,8.84791509234499e-05,12,6
"3372",5551,6,2021-10-14,"EMB",17.45,17.45,0.227018429,0.329688607749354,1.13e-09,5.27e-09,1.52e-09,2.42e-09,6.87e-09,2.14e-09,2.82e-09,5.96e-10,427.622999627911,74.4380024168633,1073.57709739531,391.724171619014,100514.29901319,100362.036471267,101161.989305581,191.055971877555,286.658795866271,282.129724036113,288.177597386758,1.35413590827847,289.363630791532,286.100202353083,294.302743321951,2.71719189730401,1.78702583188369,-0.815867120141944,11.2755310244649,2.9882513474919,1.75381085071729,-0.687544506488482,5.83205480912901,1.67653780719209,2.65927669249203e-05,0,0.000216406431254052,5.42759261980849e-05,12,4
"3374",5553,6,2021-10-16,"EMB",4.966666667,4.966666667,0.098674285,0.329688607749354,4.09e-10,1.98e-08,5.16e-09,1.21e-09,3.06e-09,8.06e-10,1.13e-08,2.25e-09,629.79976437462,299.03534048921,1301.39024112246,371.517212152293,102326.994432405,102028.174664221,102515.842652682,161.646826195876,277.274230899056,275.634090469978,278.963224541948,1.23861505893211,287.493271624335,283.590674997753,290.963454566942,2.5780912546838,-3.12296659513299,-4.32948274693362,0.572869497082019,1.29937273974423,-0.963363592361775,-4.20897171118888,1.19260692498546,1.77103314269091,0,0,0,0,12,6
"3376",5555,6,2021-10-18,"EMB",15.59333333,15.59333333,0.14360171,0.329688607749354,1.1e-09,1.5e-08,4.16e-09,2.74e-09,4.33e-09,1.25e-09,9e-09,1.91e-09,471.283389667828,134.473630365475,1105.42857495053,332.479597178839,102070.900715438,101909.561954852,102253.661398032,102.474347550829,284.083536792797,282.693161527743,285.344090951449,0.748457022518574,289.811754527981,286.246481623388,292.385391194506,1.93113485092072,0.236898430858329,-4.12647070342089,2.64280257677304,2.59359339986641,-1.52643026985167,-5.67210071562094,2.37256665670914,2.48534881253332,4.02313460561358e-06,0,3.65455918569318e-05,8.65865579556605e-06,12,1
"3377",5556,6,2021-10-19,"EMB",5.336363636,5.336363636,0.077314921,0.329688607749354,4e-10,1.1e-08,3.02e-09,1.35e-09,3.84e-09,1.18e-09,1.09e-08,2.16e-09,392.857239269629,185.140036797876,718.476324943138,183.418013090205,102162.727973672,101978.13611402,102308.224968645,102.722595377534,281.668128201808,280.230271177595,283.109000757361,0.833549309405652,289.068148796585,284.851717768049,292.973613829799,2.79650254486861,-0.0480575583128185,-0.942843527908182,0.680267718498608,0.454316071667613,-3.27779011138684,-5.78255326448087,-1.95314086684282,1.11895012317482,0,0,0,0,12,2
"3380",5561,6,2021-10-24,"EMB",5.5125,5.5125,0.040710359,0.329688607749354,5.91e-10,2.83e-08,6.72e-09,1.46e-09,3.04e-09,8.67e-10,1.68e-08,3.15e-09,926.331431055762,163.035396522479,1949.43403698762,639.820943346421,101140.835617037,100883.988732696,101351.814937537,147.957052374194,280.516137319627,278.291169936272,282.081850136433,1.0456676339039,290.820815870076,284.06369102647,297.011152507211,4.57220423150578,-0.110800633006763,-4.78585358201591,6.82697407794962,3.61461290730345,4.07055775195296,-0.96534043875102,8.87653118026909,3.24261952294407,3.94798216527352e-11,0,9.47515719665644e-10,1.93410836370568e-10,12,7
"3381",5563,6,2021-10-26,"EMB",14.6375,14.6375,0.077687952,0.329688607749354,8.64e-10,5.99e-08,1.43e-08,2.44e-09,4.55e-09,1.44e-09,2.64e-08,5.17e-09,228.436824580924,51.3359474339156,570.537896599949,188.991960805406,101199.822585292,101052.175906787,101332.941508672,80.7532229966627,288.217908503234,286.593762056098,290.455142658812,1.010368626333,296.206159421935,290.284576829259,302.858682602465,4.74096874092444,-2.09818287887762,-3.89550759365202,2.97038843112754,1.77868573795131,0.534216767921288,-3.59722181228911,3.29880163072397,2.15052518069852,0,0,0,0,12,2
"3382",5564,6,2021-10-27,"EMB",18.43333333,18.43333333,0.106671833,0.329688607749354,1.28e-09,2.31e-08,6.7e-09,4.91e-09,3.53e-09,1.12e-09,6.72e-09,1.15e-09,213.638860534253,55.0318188826553,475.309665416475,141.066035222378,101631.714325068,101200.340696644,101921.715055108,251.594570311499,289.126948449744,287.547387730404,290.517773297125,0.970952267803975,297.59956474263,292.03681769515,302.565999080954,3.73953247982145,-2.66162744444645,-3.47905280600153,-1.4619060776935,0.51664803870615,0.754359450061834,-2.60825562720764,2.6397028919623,1.72219620805761,0,0,0,0,12,3
"3383",5565,6,2021-10-28,"EMB",9.470833333,9.470833333,0.17088511,0.329688607749354,6.64e-10,1.55e-08,4.57e-09,4.22e-09,2.81e-09,1.08e-09,1.12e-08,1.75e-09,331.740503600417,85.9311544141154,838.185060700392,289.551844345185,101976.907113777,101757.654081238,102175.934945314,128.713235779958,290.875459156168,289.567900186706,292.487139611753,0.982651552290884,298.662671892045,293.993084685507,302.970119299808,3.10899397906742,-2.07568716389294,-3.86354505895751,0.901787482904593,1.46196260026605,-2.74826952487399,-5.45147223232793,-1.41580084627767,1.37560470030089,0,0,0,0,12,4
